secid,sdate,edate,PERMNO,score,crsp,symbol
101852,19960809,20190628,83844,1,crsp_83844,AWRE
101853,20000711,20190628,88417,1,crsp_88417,ACLS
102027,19960102,20190628,79249,1,crsp_79249,BBSI
102090,19960102,20190628,76224,1,crsp_76224,BHE
102264,19961113,20041210,84250,1,crsp_84250,RST
102298,19990212,20190628,86717,1,crsp_86717,EPAY
102373,19960102,20190628,81241,1,crsp_81241,BRKS
102380,19960102,20040521,19546,1,crsp_19546,TBI
102567,19960228,20190628,83124,1,crsp_83124,CSGS
102578,19960102,20190628,28564,1,crsp_28564,CTS
102596,20000404,20190628,88152,1,crsp_88152,CCMP
102598,19960102,20190628,20512,1,crsp_20512,CACI
102602,19960102,20190628,11403,1,crsp_11403,CDNS
102617,19960101,20190628,20670,1,crsp_20670,CAMP
102820,19980701,20190628,86115,1,crsp_86115,CLS
102893,19960102,20190628,10909,1,crsp_10909,CERN
103041,19960102,20190628,75603,1,crsp_75603,CRUS
103042,19960102,20190628,76076,1,crsp_76076,CSCO
103065,19960102,20190628,82686,1,crsp_82686,CTXS
103138,19980619,20190628,86158,1,crsp_86158,CTSH
103302,19960102,20190628,40125,1,crsp_40125,DXC
103303,19960101,20190628,26084,1,crsp_26084,CTG
103311,19960102,20190628,26201,1,crsp_26201,CMTL
103517,19960101,20190628,78875,1,crsp_78875,CREE
103583,19960102,20190628,18091,1,crsp_18091,CW
103653,19960102,20190628,80236,1,crsp_80236,DSPG
103832,19960102,20190628,75831,1,crsp_75831,DGII
103867,19960101,20190628,44943,1,crsp_44943,DIOD
103932,19960102,20190628,25953,1,crsp_25953,DOV
104124,19960102,20190628,11762,1,crsp_11762,ETN
104140,19960101,20190628,11481,1,crsp_11481,EBIX
104192,19990923,20190628,87227,1,crsp_87227,EGAN
104229,19960102,20190628,75828,1,crsp_75828,EA
104261,20000317,20190628,87658,1,crsp_87658,EMAN
104274,19970306,20190628,84607,1,crsp_84607,EMKR
104401,19961115,20190628,84234,1,crsp_84234,PLUS
104490,19980512,20190628,86062,1,crsp_86062,EVOL
104527,19990409,20190628,86822,1,crsp_86822,EXTR
104579,19960628,20190628,83597,1,crsp_83597,FDS
104644,19990604,20190628,86964,1,crsp_86964,FFIV
104699,19960101,20190628,35124,1,crsp_35124,CLGX
104870,19960102,20190628,10696,1,crsp_10696,FISV
105081,19990324,20101228,82261,1,crsp_82261,LASR
105323,19960101,20021106,67563,1,crsp_67563,GSB
105355,19960102,20190628,60468,1,crsp_60468,GHM
105563,19960101,20190628,81621,1,crsp_81621,HLIT
105654,20000411,20190628,88167,1,crsp_88167,HSTM
105667,19990427,20190628,86827,1,crsp_86827,HSII
105683,19960102,20190628,88664,1,crsp_88664,JKHY
105700,19960102,20190628,27828,1,crsp_27828,HPQ
105985,19960102,20190628,56573,1,crsp_56573,ITW
106007,19991112,20190628,87394,1,crsp_87394,IMMR
106095,19960430,20190628,83382,1,crsp_83382,TCX
106132,19960101,20190628,79499,1,crsp_79499,INOD
106162,20000808,20190628,88534,1,crsp_88534,ISSC
106203,19960102,20190628,59328,1,crsp_59328,INTC
106276,19960102,20190628,12490,1,crsp_12490,IBM
106329,19960102,20190628,53065,1,crsp_53065,IPG
106355,19960102,20190628,82587,1,crsp_82587,IVAC
106367,19960102,20190628,78975,1,crsp_78975,INTU
106521,19960101,20190628,79094,1,crsp_79094,JBL
106560,19990723,20190628,87075,1,crsp_87075,JCOM
106581,19990625,20190628,86979,1,crsp_86979,JNPR
106607,19960402,20190628,83390,1,crsp_83390,KVHI
106641,19960102,20190628,47379,1,crsp_47379,KELYA
106673,19960102,20190628,47619,1,crsp_47619,KTCC
106681,19960101,20190628,82212,1,crsp_82212,KFRC
106730,19960102,20190628,77515,1,crsp_77515,KOPN
106736,19990211,20190628,86594,1,crsp_86594,KFY
106749,19960102,20190628,48144,1,crsp_48144,KLIC
106787,19960613,20190628,83671,1,crsp_83671,TBI
106808,19960102,20190628,48486,1,crsp_48486,LRCX
106857,19960102,20190628,75854,1,crsp_75854,LSCC
106973,19980602,20190628,81678,1,crsp_81678,LECO
107005,20000407,20190628,88174,1,crsp_88174,LPSN
107087,19960101,20190628,81527,1,crsp_81527,MDCA
107160,19960101,20190628,76948,1,crsp_76948,MGIC
107198,19980423,20190628,85992,1,crsp_85992,MANH
107204,19960102,20190628,75285,1,crsp_75285,MAN
107289,19960102,20190628,11896,1,crsp_11896,MXIM
107320,19960102,20190628,89915,1,crsp_89915,MGRC
107525,19960102,20190628,10107,1,crsp_10107,MSFT
107529,19980611,20190628,86211,1,crsp_86211,MSTR
107532,19960102,20190628,78987,1,crsp_78987,MCHP
107544,19960102,20190628,53613,1,crsp_53613,MU
107569,19960102,20190628,75470,1,crsp_75470,MIDD
107634,19960102,20190628,81165,1,crsp_81165,MIND
107637,19960102,20190628,11803,1,crsp_11803,MITK
107747,19960102,20190628,22779,1,crsp_22779,MSI
107935,19960102,20190628,81501,1,crsp_81501,NATI
108027,19970702,20190628,85177,1,crsp_85177,EGHT
108040,19991223,20190628,87508,1,crsp_87508,NTWK
108047,19990812,20190628,87179,1,crsp_87179,NTCT
108055,19960102,20190628,82598,1,crsp_82598,NTAP
108321,19990122,20190628,86580,1,crsp_86580,NVDA
108367,19971002,20190628,85488,1,crsp_85488,OSIS
108429,19960102,20190628,30681,1,crsp_30681,OMC
108448,19960102,20180401,77917,1,crsp_77917,ASGN
108451,20000428,20190628,88182,1,crsp_88182,ON
108487,19960124,20190628,82833,1,crsp_82833,OTEX
108505,19960101,20190628,10104,1,crsp_10104,ORCL
108602,19991019,20190628,87361,1,crsp_87361,PCTI
108756,19960102,20190628,75912,1,crsp_75912,PTC
108826,19960719,20190628,83779,1,crsp_83779,PEGA
108861,20121001,20190628,13586,1,crsp_13586,PNR
108904,19990729,20190628,87086,1,crsp_87086,PRFT
108995,19960102,20190628,11154,1,crsp_11154,PLAB
109032,19960102,20190628,63125,1,crsp_63125,AGYS
109042,20000519,20190628,88260,1,crsp_88260,PXLW
109070,19960102,20190628,10032,1,crsp_10032,PLXS
109128,19971212,20190628,85710,1,crsp_85710,POWI
109244,19960102,20190628,76752,1,crsp_76752,PRGS
109348,19960102,20190628,77178,1,crsp_77178,QCOM
109351,19960102,20180909,64961,1,crsp_64961,NXGN
109377,19991015,20190628,87364,1,crsp_87364,QUIK
109404,19960101,20190628,65270,1,crsp_65270,RCMT
109438,19960101,20190628,78569,1,crsp_78569,RADA
109459,19970514,20190628,84827,1,crsp_84827,RMBS
109506,19971121,20190628,85576,1,crsp_85576,RNWK
109575,19960101,20190628,81222,1,crsp_81222,RCII
109590,19990204,20190628,86745,1,crsp_86745,BB
109632,19960102,20190628,66852,1,crsp_66852,RELL
109667,19960102,20190628,52230,1,crsp_52230,RHI
109790,19971007,20190628,85502,1,crsp_85502,INVE
109823,19960101,20190628,55212,1,crsp_55212,SPXC
109841,19961011,20070330,84036,1,crsp_84036,TSG
109906,19960102,20190628,79108,1,crsp_79108,SANM
109945,19960102,20190628,80362,1,crsp_80362,SCSC
109947,19960101,20190628,82759,1,crsp_82759,NUAN
109995,19961105,20190628,84255,1,crsp_84255,SEAC
